"Desert","Country","Province"
"Dascht-e-Margoh","AFG","Afghanistan"
"Rigestan","AFG","Afghanistan"
"Kalahari","ANG","Cuando Cubango"
"Kalahari","ANG","Moxico"
"Sturt Desert","AUS","New South Wales"
"Red Centre","AUS","Northern Territory"
"Simpson Desert","AUS","Northern Territory"
"Sturt Desert","AUS","Northern Territory"
"Tanami","AUS","Northern Territory"
"Simpson Desert","AUS","Queensland"
"Sturt Desert","AUS","Queensland"
"Great Victoria Desert","AUS","South Australia"
"Nullarbor Plain","AUS","South Australia"
"Red Centre","AUS","South Australia"
"Simpson Desert","AUS","South Australia"
"Gibson Desert","AUS","Western Australia"
"Great Sandy Desert","AUS","Western Australia"
"Great Victoria Desert","AUS","Western Australia"
"Nullarbor Plain","AUS","Western Australia"
"Red Centre","AUS","Western Australia"
"Azaouad","DZ","Algeria"
"Erg Chech","DZ","Algeria"
"Erg Igidi","DZ","Algeria"
"Erg Isaouane","DZ","Algeria"
"Grand Erg Est","DZ","Algeria"
"Grand Erg Ouest","DZ","Algeria"
"Hamada du Draa","DZ","Algeria"
"Tanezrouft","DZ","Algeria"
"Libyan Desert","ET","Beni Suef"
"Arabian Desert","ET","El Bahr el Ahmar"
"Libyan Desert","ET","El Giza"
"Libyan Desert","ET","El Minya"
"Libyan Desert","ET","El Wadi el Jadid"
"Libyan Desert","ET","Matruh"
"Negev","IL","South"
"Thar","IND","Gujarat"
"Thar","IND","Haryana"
"Thar","IND","Punjab"
"Thar","IND","Rajasthan"
"Dascht-e-Kavir","IR","Esfahan"
"Dascht-e-Lut","IR","Esfahan"
"Dascht-e-Lut","IR","Kerman"
"Dascht-e-Kavir","IR","Khorasan"
"Dascht-e-Lut","IR","Khorasan"
"Dascht-e-Kavir","IR","Semnan"
"Dascht-e-Lut","IR","Sistan e Baluchestan"
"Dascht-e-Kavir","IR","Tehran"
"Dascht-e-Kavir","IR","Yazd"
"Dascht-e-Lut","IR","Yazd"
"Syrian Desert","IRQ","Al Anbar"
"Syrian Desert","JOR","Jordan"
"Ust Urt","KAZ","Aqtobe"
"Ryn","KAZ","Atyrau"
