"River","Country","Province"
"Enns","A","Lower Austria"
"March","A","Lower Austria"
"Enns","A","Salzburg"
"Salzach","A","Salzburg"
"Enns","A","Styria"
"Inn","A","Tyrol"
"Enns","A","Upper Austria"
"Pjandsh","AFG","Afghanistan"
"Black Drin","AL","Albania"
"Drin","AL","Albania"
"White Drin","AL","Albania"
"Darling River","AUS","New South Wales"
"Murrumbidgee River","AUS","New South Wales"
"Murray River","AUS","South Australia"
"Kura","AZ","Azerbaijan"
"Brahmaputra","BD","Bangladesh"
"Ruzizi","BI","Burundi"
"Rio Desaguadero","BOL","Bolivia"
"Rio Mamore","BOL","Bolivia"
"Rio Sao Francisco","BR","Alagoas"
"Amazonas","BR","Amapa"
"Rio Madeira","BR","Amazonas"
"Rio Negro","BR","Amazonas"
"Amazonas","BR","Para"
"Tocantins","BR","Para"
"Rio Sao Francisco","BR","Sergipe"
"Sanaga","CAM","Cote/Littoral"
"Schari","CAM","Nord extreme"
"Nelson River","CDN","Manitoba"
"Mackenzie River","CDN","Northwest Territories"
"Detroit River","CDN","Ontario"
"Niagara River","CDN","Ontario"
"Manicouagan","CDN","Quebec"
"Riviere Richelieu","CDN","Quebec"
"Saint Lawrence River","CDN","Quebec"
"Saskatchewan River","CDN","Saskatchewan"
"Aare","CH","AG"
"Limmat","CH","AG"
"Reuss","CH","AG"
"Rio Magdalena","CO","Atlantico"
"Rio San Juan","CR","Alajuela"
"Moldau","CZ","Praha"
"Breg","D","Baden Wurttemberg"
"Brigach","D","Baden Wurttemberg"
"Iller","D","Baden Wurttemberg"
"Neckar","D","Baden Wurttemberg"
"Alz","D","Bayern"
"Ammer","D","Bayern"
"Iller","D","Bayern"
"Inn","D","Bayern"
"Isar","D","Bayern"
"Lech","D","Bayern"
"Salzach","D","Bayern"
"Wurm","D","Bayern"
"Weser","D","Bremen"
"Fulda","D","Hessen"
"Main","D","Hessen"
"Oder","D","Mecklenburg Vorpommern"
"Aller","D","Niedersachsen"
"Elbe","D","Niedersachsen"
"Werra","D","Niedersachsen"
"Weser","D","Niedersachsen"
"Mosel","D","Rheinland Pfalz"
"Saar","D","Rheinland Pfalz"
"Leine","D","Thuringen"
"Guadalquivir","E","Andalusia"
"Guadiana","E","Andalusia"
"Ebro","E","Catalonia"
"Akagera","EAT","Mwanza"
"Semliki","EAU","Uganda"
"Victoria Nile","EAU","Uganda"
"Nile","ET","Dumyat"
"Nile","ET","El Buhayra"
"Nile","ET","El Daqahliya"
"Nile","ET","Kafr el Sheikh"
"Nile","ET","Sharqiya"
"Garonne","F","Aquitaine"
"Doubs","F","Bourgogne"
"Seine","F","Haute Normandie"
"Marne","F","Ile de France"
"Loire","F","Pays de la Loire"
"Rhone","F","Provence Cote dAzur"
"Isere","F","Rhone Alpes"
"Saone","F","Rhone Alpes"
"Thames","GB","Essex"
"Thames","GB","Kent"
"Volta","GH","Ghana"
"Raab","H","Gyor Sopron"
"Mur","H","Zala"
"Drau","HR","Croatia"
"Mur","HR","Croatia"
"Po","I","Emilia Romagna"
"Tiber","I","Lazio"
"Adda","I","Lombardia"
"Ticino","I","Lombardia"
"Arno","I","Toscana"
"Etsch","I","Veneto"
"Mincio","I","Veneto"
"Po","I","Veneto"
"Ganges","IND","West Bengal"
"Karun","IR","Khuzestan"
"Euphrat","IRQ","Al Anbar"
"Schatt al Arab","IRQ","Al Anbar"
"Tigris","IRQ","Al Anbar"
"Joekulsa a Fjoellum","IS","Iceland"
"Thjorsa","IS","Iceland"
"Jordan","JOR","Jordan"
"Ural","KAZ","Atyrau"
"Western Dwina","LV","Latvia"
"Pruth","MD","Moldova"
"Colorado","MEX","Baja California"
"Rio Lerma","MEX","Mexico, Estado de"
"Colorado","MEX","Sonora"
"Rio Grande","MEX","Tamaulipas"
"Limpopo","MOC","Gaza"
"Zambezi","MOC","Manica"
"Chire","MOC","Tete"
"Chire","MOC","Zambezia"
"Zambezi","MOC","Zambezia"
"Irawaddy","MYA","Kachin"
"Saluen","MYA","Mon"
"Irawaddy","MYA","Yangon"
"Lagen","N","Akershus"
"Paatsjoki","N","Finnmark"
"Glomma","N","Oestfold"
"Oranje","NAM","Namibia"
"Rio San Juan","NIC","Nicaragua"
"Maas","NL","Noord Brabant"
"Maas","NL","Zuid Holland"
"Rhein","NL","Zuid Holland"
"Douro","P","Aveiro"
"Guadiana","P","Aveiro"
"Tajo","P","Lisbon"
"Douro","P","Porto"
"Guadiana","P","Porto"
"Indus","PK","Pakistan"
"Weichsel","PL","Gdanskie"
"Oder","PL","Szczecinskie"
"Paraguay","PY","Paraguay"
"Katun","R","Altayskiy kray"
"Northern Dwina","R","Arkhangelskaya oblast"
"Petschora","R","Arkhangelskaya oblast"
"Volga","R","Astrakhanskaya oblast"
"Argun","R","Chitinskaya oblast"
"Schilka","R","Chitinskaya oblast"
"Amur","R","Khabarovskiy kray"
"Angara","R","Krasnoyarskiy kray"
"Chatanga","R","Krasnoyarskiy kray"
"Jenissej","R","Krasnoyarskiy kray"
"Newa","R","Leningradskaya oblast"
"Swir","R","Leningradskaya oblast"
"Paatsjoki","R","Murmanskaya oblast"
"Oka","R","Nizhegorodskaya oblast"
"Narva","R","Pskovskaya oblast"
"Vuoksi","R","Rep. of Karelia"
"Kolyma","R","Rep. of Sakha"
"Lena","R","Rep. of Sakha"
"Don","R","Rostovskaya oblast"
"Irtysch","R","Tyumenskaya oblast"
"Ischim","R","Tyumenskaya oblast"
"Ob","R","Tyumenskaya oblast"
"Tobol","R","Tyumenskaya oblast"
"Suchona","R","Vologodskaya oblast"
"Parana","RA","Buenos Aires"
"Paraguay","RA","Chaco"
"Parana","RA","Entre Rios"
"Uruguay","RA","Entre Rios"
"Bomu","RCA","Central African Republic"
"Sanga","RCB","Congo"
"Ubangi","RCB","Congo"
"Asahan","RI","Indonesia"
"Senegal","RIM","Mauritania"
"Bani","RMM","Mali"
"Pruth","RO","Galati"
"Olt","RO","Olt"
"Donau","RO","Tulcea"
"Uruguay","ROU","Uruguay"
"Oranje","RSA","Northern Cape"
"Vaal","RSA","Northern Cape"
"Oesterdalaelv","S","Dalarna"
"Vaesterdalaelv","S","Dalarna"
"Goetaaelv","S","Goteborg och Bohus"
"Dalaelv","S","Uppsala"
"Klaraelv","S","Varmland"
"Umeaelv","S","Vasterbotten"
"Kymijoki","SF","Kymi"
"Kemijoki","SF","Lappia"
"Ounasjoki","SF","Lappia"
"Oulujoki","SF","Oulu"
"Kokemaeenjoki","SF","Turku-Pori"
"Kymijoki","SF","Uusimaa"
"March","SK","Slovakia"
"Waag","SK","Slovakia"
"Senegal","SN","Saint Louis"
"Jubba","SP","Somalia"
"Shabelle","SP","Somalia"
"Morava","SRB","Serbia"
"Save","SRB","Serbia"
"Southern Morava","SRB","Serbia"
"Theiss","SRB","Serbia"
"Western Morava","SRB","Serbia"
"Bahr el-Djebel/Albert-Nil","SUD","Aali an Nil"
"Bahr el-Ghasal","SUD","Aali an Nil"
"Sobat","SUD","Aali an Nil"
"Blue Nile","SUD","al Khartum"
"White Nile","SUD","al Khartum"
"Atbara","SUD","ash Shamaliyah"
"Pjandsh","TAD","Khatlon"
"Naryn","TAD","Khujand"
"Schari","TCH","Chad"
"Argun","TJ","Heilongjiang"
"Jangtse","TJ","Jiangsu"
"Hwangho","TJ","Shandong"
"Jangtse","TJ","Shanghai (munic.)"
"Murat","TR","Elazig"
"Karasu","TR","Erzincan"
"Dnepr","UA","Khersonska"
"Dnjestr","UA","Odeska"
"Donau","UA","Odeska"
"Yukon River","USA","Alaska"
"Arkansas","USA","Arkansas"
"Connecticut River","USA","Connecticut"
"Ohio River","USA","Illinois"
"Ohio River","USA","Kentucky"
"Tennessee","USA","Kentucky"
"Mississippi","USA","Louisiana"
"Merrimack River","USA","Massachusetts"
"Missouri","USA","Missouri"
"Truckee River","USA","Nevada"
"Hudson River","USA","New York"
"Columbia River","USA","Oregon"
"Allegheny River","USA","Pennsylvania"
"Rio Grande","USA","Texas"
"Columbia River","USA","Washington"
"Amudarja","UZB","Qaraqalpoghiston"
"Syrdarja","UZB","Toshkent"
"Mekong","VN","Vietnam"
"Gambia","WAG","Gambia"
"Benue","WAN","Nigeria"
"Niger","WAN","Nigeria"
"Jordan","WEST","West Bank"
"Orinoco","YV","Delta Amacuro"
"Luapula","Z","Luapula"
"Cuango","ZRE","Bandundu"
"Cuilo","ZRE","Bandundu"
"Fimi","ZRE","Bandundu"
"Kasai","ZRE","Bandundu"
"Kwa","ZRE","Bandundu"
"Lukenie","ZRE","Bandundu"
"Zaire","ZRE","Bas Zaire"
"Bomu","ZRE","Equateur"
"Busira","ZRE","Equateur"
"Ruki","ZRE","Equateur"
"Tshuapa","ZRE","Equateur"
"Ubangi","ZRE","Equateur"
"Uelle","ZRE","Equateur"
"Aruwimi","ZRE","Haut Zaire"
"Lomami","ZRE","Haut Zaire"
"Lualaba","ZRE","Haut Zaire"
"Semliki","ZRE","Haut Zaire"
"Lulua","ZRE","Kasai Occidental"
"Ruzizi","ZRE","Kivu"
"Luapula","ZRE","Shaba/Katanga"
"Lukuga","ZRE","Shaba/Katanga"
"Luvua","ZRE","Shaba/Katanga"
