"Mountain","Country","Province"
"Grossglockner","A","Carinthia"
"Hochgolling","A","Salzburg"
"Hochgolling","A","Styria"
"Zugspitze","A","Tyrol"
"Tirich Mir","AFG","Afghanistan"
"Jezerce","AL","Albania"
"Korab","AL","Albania"
"Mt. Kosciuszko","AUS","New South Wales"
"Uluru","AUS","Northern Territory"
"Mt. Bogong","AUS","Victoria"
"Musala","BG","Bulgaria"
"Illampu","BOL","Bolivia"
"Illimani","BOL","Bolivia"
"Licancabur","BOL","Bolivia"
"Sajama","BOL","Bolivia"
"Pico de Agulhas Negras","BR","Minas Gerais"
"Pico de Agulhas Negras","BR","Rio de Janeiro"
"Pico Turquino","C","Granma"
"Pico Turquino","C","Santiago de Cuba"
"Fako","CAM","Sudoueste"
"Mt Columbia","CDN","Alberta"
"Mt Columbia","CDN","British Columbia"
"Mt Fairweather","CDN","British Columbia"
"Mt Robson","CDN","British Columbia"
"Mt Waddington","CDN","British Columbia"
"Barbeau Peak","CDN","Northwest Territories"
"Mt. Odin","CDN","Northwest Territories"
"Mt. Babel","CDN","Quebec"
"Mt Bona","CDN","Saskatchewan"
"Mt Logan","CDN","Yukon Territory"
"Mt St.Elias","CDN","Yukon Territory"
"Finsteraarhorn","CH","BE"
"Crap_Sogn_Gion","CH","GR"
"Piz Bernina","CH","GR"
"Finsteraarhorn","CH","VS"
"GrandCombin","CH","VS"
"Matterhorn","CH","VS"
"Monte Rosa","CH","VS"
"Pidurutalagala","CL","Sri Lanka"
"Nevado del Ruiz","CO","Choco"
"Nevado del Huila","CO","Huila"
"Pico Cristobal Colon","CO","Magdalena"
"Nevado del Ruiz","CO","Risaralda"
"Cerro Chirripo","CR","Cartago"
"Irazu","CR","Cartago"
"Cerro Chirripo","CR","Limon"
"Fogo","CV","Cape Verde"
"Olympos","CY","Cyprus"
"Schneekoppe","CZ","Vychodocesky"
"Feldberg","D","Baden Wurttemberg"
"Grosser Arber","D","Bayern"
"Zugspitze","D","Bayern"
"Brocken","D","Sachsen Anhalt"
"Pico Duarte","DOM","Dominican Republic"
"Tahat","DZ","Algeria"
"Mulhacen","E","Andalusia"
"Moncayo","E","Aragon"
"Pico de Aneto","E","Aragon"
"Vignemale","E","Aragon"
"Torre de Cerredo","E","Asturias"
"Pico de los Nieves","E","Canary Islands"
"Pico de Teide","E","Canary Islands"
"Roque de los Muchachos","E","Canary Islands"
"Moncayo","E","Castile and Leon"
"Pico de Almanzor","E","Castile and Leon"
"Torre de Cerredo","E","Castile and Leon"
"Kenia","EAK","Eastern"
"Elgon","EAK","Western"
"Meru","EAT","Arusha"
"Kilimanjaro","EAT","Kilimanjaro"
"Mawenzi","EAT","Kilimanjaro"
"Elgon","EAU","Uganda"
"Ruwenzori","EAU","Uganda"
"Cayambe","EC","Ecuador"
"Chimborazo","EC","Ecuador"
"Cotopaxi","EC","Ecuador"
"Jabal Katrina","ET","Sina al Janubiyah"
"Ras Daschan Terara","ETH","Ethiopia"
"Grand Ballon","F","Alsace"
"Puy De Dome","F","Auvergne"
"Puy de Sancy","F","Auvergne"
"Monte Cinto","F","Corse"
"Grand Ballon","F","Lorraine"
"Vignemale","F","Midi Pyrenees"
"Barre des Ecrins","F","Rhone Alpes"
"Mont Blanc","F","Rhone Alpes"
"Mt.Victoria","FJI","Fiji"
"Mont Orohena","FPOL","French Polynesia"
"Ben Nevis","GB","Highland"
"Tajumulco","GCA","Guatemala"
"Kasbek","GE","Georgia"
"Pico Basile","GQ","Equatorial Guinea"
"Olymp","GR","Kedriki Makedhonia"
"Psiloritis","GR","Kriti"
"Olymp","GR","Thessalia"
"La Soufriere","GUAD","Guadeloupe"
"Queen Marys Peak","HELX","Saint Helena"
"Gran Sasso","I","Abruzzo"
"Vesuv","I","Campania"
"Monte Falterona","I","Emilia Romagna"
"Monte Rosa","I","Lombardia"
"Piz Bernina","I","Lombardia"
"GranParadiso","I","Piemonte"
"Etna","I","Sicilia"
"Monte Falterona","I","Toscana"
"Marmolata","I","Trentino Alto Adige"
"GranParadiso","I","Valle dAosta"
"Matterhorn","I","Valle dAosta"
"Mont Blanc","I","Valle dAosta"
"Monte Rosa","I","Valle dAosta"
"Marmolata","I","Veneto"
"Kangchendzonga","IND","Sikkim"
"Dodabetta","IND","Tamil Nadu"
"Nanda Devi","IND","Uttar Pradesh"
"Sabalan","IR","Azarbayian e Sharqi"
"Zard Kuh","IR","Chahar Mahal e Bakhtiari"
"Damavand","IR","Mazandaran"
"Oraefajokull","IS","Iceland"
"Snaefell","IS","Iceland"
"Hotaka-Dake","J","Gifu"
"Asahi-Dake","J","Hokkaido"
"Hotaka-Dake","J","Nagano"
"Fujisan","J","Shizuoka"
"Fujisan","J","Yamanashi"
"Blue Mountain Peak","JA","Jamaica"
"Bjelucha","KAZ","Shyghys Qazaqstan"
"Pik Chan-Tengri","KGZ","Kyrgyzstan"
"Pik Lenina","KGZ","Kyrgyzstan"
"Pik Pobeda","KGZ","Kyrgyzstan"
"Thabana Ntlenyana","LS","Lesotho"
"Djebel Aures","MA","Morocco"
"Tubkhal","MA","Morocco"
"Tahan","MAL","Kelantan"
"Tahan","MAL","Pahang"
"Kinabalu","MAL","Sabah"
"Pelee","MART","Martinique"
"Nevado de Colima","MEX","Jalisco"
"Nevado de Toluca","MEX","Mexico, Estado de"
"Popocatepetl","MEX","Mexico, Estado de"
"Popocatepetl","MEX","Morelos"
"Citlaltepetl (Pico de Orizaba)","MEX","Puebla"
"Iztaccihuatl","MEX","Puebla"
"Popocatepetl","MEX","Puebla"
"Citlaltepetl (Pico de Orizaba)","MEX","Veracruz"
"Korab","MK","Macedonia"
"Soufriere Hills","MNTS","Montserrat"
"Joekul","N","Hordaland"
"Sulitjelma","N","Nordland"
"Galdhoeppig","N","Oppland"
"Glittertind","N","Oppland"
"Snoehetta","N","Oppland"
"Jostedalsbre","N","Sogn og Fjordane"
"Annapurna","NEP","Nepal"
"Cho Oyu","NEP","Nepal"
"Dhaulagiri","NEP","Nepal"
"Kangchendzonga","NEP","Nepal"
"Lhotse","NEP","Nepal"
"Makalu","NEP","Nepal"
"Manaslu","NEP","Nepal"
"Mount Everest","NEP","Nepal"
"Concepcion","NIC","Nicaragua"
"Changbai Shan","NOK","North Korea"
"Mt. Cook","NZ","New Zealand"
"Ruapehu","NZ","New Zealand"
"Pico","P","Azores"
"Torre de Estrela","P","Guarda"
"Pico Ruivo","P","Madeira"
"Alpamayo","PE","Ancash"
"Huascaran","PE","Ancash"
"Pico Rocarre","PE","Ancash"
"Ampato","PE","Arequipa"
"Coropuna","PE","Arequipa"
"Ausangate","PE","Cuzco"
"Broad Peak","PK","Pakistan"
"Gasherbrum I","PK","Pakistan"
"Gasherbrum II","PK","Pakistan"
"K2","PK","Pakistan"
"Nanga Parbat","PK","Pakistan"
"Schneekoppe","PL","Walbrzyskie"
"Mt. Balbi","PNG","Papua New Guinea"
"Mt. Giluwe","PNG","Papua New Guinea"
"Mt. Wilhelm","PNG","Papua New Guinea"
"Cerro de Punta","PR","Puerto Rico"
"Elbrus","R","Kabardino Balkar Rep."
"Kljutschewskaja Sopka","R","Kamchatskaya oblast"
"Bjelucha","R","Rep. of Altay"
"Zhima","R","Rep. of Buryatiya"
"Narodnaja","R","Rep. of Komi"
"Kasbek","R","Rep. of North Ossetiya"
"Monte Pissis","RA","La Rioja"
"Aconcagua","RA","Mendoza"
"Tupungato","RA","Mendoza"
"Llullaillaco","RA","Tucuman"
"Monte Pissis","RA","Tucuman"
"Ojos del Salado","RA","Tucuman"
"Yu Shan","RC","Taiwan"
"Licancabur","RCH","Chile"
"Llullaillaco","RCH","Chile"
"Ojos del Salado","RCH","Chile"
"Piton de la Fournaise","REUN","Reunion"
"Piton des Neiges","REUN","Reunion"
"Gunung Agung","RI","Indonesia"
"Gunung Binaiya","RI","Indonesia"
"Kerinci","RI","Indonesia"
"Krakatau","RI","Indonesia"
"Leuser","RI","Indonesia"
"Merapi","RI","Indonesia"
"Puncak Jaya","RI","Indonesia"
"Rantekombola","RI","Indonesia"
"Rinjani","RI","Indonesia"
"Semeru","RI","Indonesia"
"Tambora","RI","Indonesia"
"Jabal Lubnan","RL","Lebanon"
"Tsiafajavona","RM","Antananarivo"
"Tsaratanana","RM","Antsiranana"
"Andringitra","RM","Fianarantsoa"
"Mont Greboun","RN","Niger"
"Tamgak","RN","Niger"
"Moldoveanu","RO","Arges"
"Moldoveanu","RO","Brasov"
"Moldoveanu","RO","Sibiu"
"Kanlaon","RP","Philippines"
"Mantalingajan","RP","Philippines"
"Mount Apo","RP","Philippines"
"Pinatubo","RP","Philippines"
"Pulog","RP","Philippines"
"Cathkin Peak","RSA","Kwazulu Natal"
"Karisimbi","RWA","Rwanda"
"Kebnekaise","S","Norrbotten"
"Portefjaellen","S","Norrbotten"
"Sarektjokko","S","Norrbotten"
"Sulitjelma","S","Norrbotten"
"Tarrekaise","S","Norrbotten"
"Haltiatunturi","SF","Lappia"
"GerlachovskyStit","SK","Slovakia"
"Popomanaseu","SLB","Solomon Islands"
"Pico de Sao Tome","STP","Sao Tome and Principe"
"Jabal Marra","SUD","Darfur"
"Pik Karl-Marx","TAD","Badakhshoni Kuni"
"Pik Kommunizma","TAD","Badakhshoni Kuni"
