"River","Country","Province"
"Enns","A","Lower Austria"
"Mur","A","Salzburg"
"Salzach","A","Salzburg"
"Raab","A","Styria"
"Isar","A","Tyrol"
"Enns","A","Upper Austria"
"Iller","A","Vorarlberg"
"Lech","A","Vorarlberg"
"Amudarja","AFG","Afghanistan"
"Pjandsh","AFG","Afghanistan"
"Drin","AL","Albania"
"Cuango","ANG","Lunda Sul"
"Cuilo","ANG","Lunda Sul"
"Cuango","ANG","Malanje"
"Kasai","ANG","Moxico"
"Murrumbidgee River","AUS","New South Wales"
"Darling River","AUS","Queensland"
"Murray River","AUS","Victoria"
"Volta","BF","Burkina Faso"
"Rio Desaguadero","BOL","Bolivia"
"Rio Madeira","BOL","Bolivia"
"Rio Mamore","BOL","Bolivia"
"Tocantins","BR","Goias"
"Paraguay","BR","Mato Grosso"
"Parana","BR","Minas Gerais"
"Rio Sao Francisco","BR","Minas Gerais"
"Uruguay","BR","Rio Grande do Sul"
"Benue","CAM","Nord"
"Saskatchewan River","CDN","Alberta"
"Columbia River","CDN","British Columbia"
"Nelson River","CDN","Manitoba"
"Mackenzie River","CDN","Northwest Territories"
"Detroit River","CDN","Ontario"
"Niagara River","CDN","Ontario"
"Manicouagan","CDN","Quebec"
"Riviere Richelieu","CDN","Quebec"
"Saint Lawrence River","CDN","Quebec"
"Yukon River","CDN","Yukon Territory"
"Aare","CH","BE"
"Inn","CH","GR"
"Rhein","CH","GR"
"Ticino","CH","TI"
"Reuss","CH","UR"
"Rhone","CH","VS"
"Limmat","CH","ZH"
"Bani","CI","Cote dIvoire"
"Rio Negro","CO","Guainia"
"Rio Magdalena","CO","Huila"
"Moldau","CZ","Jihocesky"
"March","CZ","Severomoravsky"
"Oder","CZ","Severomoravsky"
"Elbe","CZ","Vychodocesky"
"Breg","D","Baden Wurttemberg"
"Brigach","D","Baden Wurttemberg"
"Donau","D","Baden Wurttemberg"
"Neckar","D","Baden Wurttemberg"
"Alz","D","Bayern"
"Ammer","D","Bayern"
"Main","D","Bayern"
"Wurm","D","Bayern"
"Fulda","D","Hessen"
"Aller","D","Niedersachsen"
"Leine","D","Niedersachsen"
"Weser","D","Niedersachsen"
"Werra","D","Thuringen"
"Guadalquivir","E","Andalusia"
"Douro","E","Castile and Leon"
"Ebro","E","Castile and Leon"
"Guadiana","E","Castile La Mancha"
"Tajo","E","Castile La Mancha"
"Garonne","E","Catalonia"
"Bahr el-Djebel/Albert-Nil","EAU","Uganda"
"Victoria Nile","EAU","Uganda"
"Atbara","ETH","Ethiopia"
"Blue Nile","ETH","Ethiopia"
"Saar","F","Alsace"
"Seine","F","Bourgogne"
"Maas","F","Champagne Ardenne"
"Marne","F","Champagne Ardenne"
"Doubs","F","Franche Comte"
"Mosel","F","Lorraine"
"Saone","F","Lorraine"
"Isere","F","Rhone Alpes"
"Loire","F","Rhone Alpes"
"Thames","GB","Wiltshire"
"Adda","I","Lombardia"
"Po","I","Piemonte"
"Arno","I","Toscana"
"Drau","I","Trentino Alto Adige"
"Etsch","I","Trentino Alto Adige"
"Tiber","I","Umbria"
"Mincio","I","Veneto"
"Karun","IR","Esfahan"
"Schatt al Arab","IRQ","Al Anbar"
"Joekulsa a Fjoellum","IS","Iceland"
"Thjorsa","IS","Iceland"
"Ischim","KAZ","Qaraghandy"
"Irtysch","KAZ","Shyghys Qazaqstan"
"Naryn","KGZ","Kyrgyzstan"
"White Drin","KOS","Kosovo"
"Oranje","LS","Lesotho"
"Rio Lerma","MEX","Nayarit"
"Black Drin","MK","Macedonia"
"Southern Morava","MK","Macedonia"
"Chire","MW","Malawi"
"Klaraelv","N","Hedmark"
"Lagen","N","Oppland"
"Glomma","N","Soer Trondelag"
"Rio San Juan","NIC","Nicaragua"
"Amazonas","PE","Cuzco"
"Weichsel","PL","Bielskie"
"Ob","R","Altayskiy kray"
"Amur","R","Chitinskaya oblast"
"Schilka","R","Chitinskaya oblast"
"Lena","R","Irkutskaya oblast"
"Chatanga","R","Krasnoyarskiy kray"
"Newa","R","Leningradskaya oblast"
"Swir","R","Leningradskaya oblast"
"Kolyma","R","Magadanskaya oblast"
"Tobol","R","Orenburgskaya oblast"
"Oka","R","Orjolskaya oblast"
"Narva","R","Pskovskaya oblast"
"Katun","R","Rep. of Altay"
"Ural","R","Rep. of Bashkortostan"
"Angara","R","Rep. of Buryatiya"
"Petschora","R","Rep. of Komi"
"Jenissej","R","Rep. of Tyva"
"Dnepr","R","Smolenskaya oblast"
"Western Dwina","R","Smolenskaya oblast"
"Don","R","Tulskaya oblast"
"Volga","R","Tverskaya oblast"
"Northern Dwina","R","Vologodskaya oblast"
"Suchona","R","Vologodskaya oblast"
"Bomu","RCA","Central African Republic"
"Sanga","RCA","Central African Republic"
"Schari","RCA","Central African Republic"
"Ubangi","RCA","Central African Republic"
"Gambia","RG","Guinea"
"Niger","RG","Guinea"
"Senegal","RG","Guinea"
"Asahan","RI","Indonesia"
"Jordan","RL","Lebanon"
"Olt","RO","Harghita"
"Limpopo","RSA","Gauteng"
