"Country","Organization","Type"
"A","AfDB","nonregional member"
"A","AG","observer"
"A","ANC","member"
"A","AsDB","nonregional member"
"A","BIS","member"
"A","CCC","member"
"A","CE","member"
"A","CEI","member"
"A","CERN","member"
"A","EBRD","member"
"A","ECE","member"
"A","EIB","member"
"A","EN","member"
"A","ESA","member"
"A","EU","member"
"A","FAO","member"
"A","G-9","member"
"A","IADB","member"
"A","IAEA","member"
"A","IBRD","member"
"A","ICAO","member"
"A","ICC","member"
"A","ICFTU","member"
"A","ICRM","National Society"
"A","IDA","Part I"
"A","IEA","member"
"A","IFAD","Category I"
"A","IFC","member"
"A","IFRCS","member"
"A","ILO","member"
"A","IMF","member"
"A","IMO","member"
"A","Intelsat","member"
"A","Interpol","member"
"A","IOC","National Olympic Committee"
"A","IOM","member"
"A","ISO","member"
"A","ITU","member"
"A","MINURSO","member"
"A","MTCR","member"
"A","NAM","guest"
"A","NSG","member"
"A","OAS","observer"
"A","OECD","member"
"A","OSCE","member"
"A","PCA","member"
"A","PFP","member"
"A","UN","member"
"A","UNAMIR","member"
"A","UNDOF","member"
"A","UNESCO","member"
"A","UNFICYP","member"
"A","UNHCR","member"
"A","UNIDO","member"
"A","UNIKOM","member"
"A","UNMIH","member"
"A","UNMOT","member"
"A","UNOMIG","member"
"A","UNTSO","member"
"A","UPU","member"
"A","WCL","member"
"A","WEU","observer"
"A","WFTU","member"
"A","WHO","member"
"A","WIPO","member"
"A","WMO","member"
"A","WToO","member"
"A","WTrO","member"
"A","ZC","member"
"AFG","AsDB","regional member"
"AFG","CP","member"
"AFG","ECO","member"
"AFG","ESCAP","member"
"AFG","FAO","member"
"AFG","G-77","member"
"AFG","IAEA","member"
"AFG","IBRD","member"
"AFG","ICAO","member"
"AFG","ICRM","National Society"
"AFG","IDA","Part II"
"AFG","IDB","member"
"AFG","IFAD","Category III"
"AFG","IFC","member"
"AFG","IFRCS","member"
"AFG","ILO","member"
"AFG","IMF","member"
"AFG","Intelsat","member"
"AFG","IOC","National Olympic Committee"
"AFG","IOM","observer"
"AFG","ITU","member"
"AFG","NAM","member"
"AFG","OIC","member"
"AFG","UN","member"
"AFG","UNESCO","member"
"AFG","UNIDO","member"
"AFG","UPU","member"
