"City","Province","Country","River","Lake","Sea"
"Shkoder","Albania","AL","","Lake Skutari",""
"Durres","Albania","AL","","","Mediterranean Sea"
"Vlore","Albania","AL","","","Mediterranean Sea"
"Kavalla","Anatoliki Makedhonia kai Thraki","GR","","","Mediterranean Sea"
"Athens","Attiki","GR","","","Mediterranean Sea"
"Piraeus","Attiki","GR","","","Mediterranean Sea"
"Patrai","Dhytiki Ellas","GR","","","Mediterranean Sea"
"Korfu","Ionioi Nisoi","GR","","","Mediterranean Sea"
"Thessaloniki","Kedriki Makedhonia","GR","","","Mediterranean Sea"
"Iraklion","Kriti","GR","","","Mediterranean Sea"
"Ermoupoli","Notion Aiyaion","GR","","","Mediterranean Sea"
"Volos","Thessalia","GR","","","Mediterranean Sea"
"Mytilini","Voreion Aiyaion","GR","","","Mediterranean Sea"
"Belgrade","Serbia","SRB","Donau","",""
"Belgrade","Serbia","SRB","Save","",""
"Strasbourg","Alsace","F","Rhein","",""
"Bordeaux","Aquitaine","F","Garonne","",""
"Brest","Bretagne","F","","","Atlantic Ocean"
"Orleans","Centre","F","Loire","",""
"Tours","Centre","F","Loire","",""
"Chalons en Champagne","Champagne Ardenne","F","Marne","",""
"Ajaccio","Corse","F","","","Mediterranean Sea"
"Besancon","Franche Comte","F","Doubs","",""
"Rouen","Haute Normandie","F","Seine","",""
"Le Havre","Haute Normandie","F","Seine","","The Channel"
"Paris","Ile de France","F","Seine","",""
"Boulogne Billancourt","Ile de France","F","Seine","",""
"Perpignan","Languedoc Roussillon","F","","","Mediterranean Sea"
"Metz","Lorraine","F","Mosel","",""
"Nancy","Lorraine","F","Mosel","",""
"Toulouse","Midi Pyrenees","F","Garonne","",""
"Nantes","Pays de la Loire","F","Loire","",""
"Marseille","Provence Cote dAzur","F","","","Mediterranean Sea"
"Nice","Provence Cote dAzur","F","","","Mediterranean Sea"
"Toulon","Provence Cote dAzur","F","","","Mediterranean Sea"
"Lyon","Rhone Alpes","F","Saone","",""
"Lyon","Rhone Alpes","F","Saone","",""
"Grenoble","Rhone Alpes","F","Isere","",""
"Villeurbanne","Rhone Alpes","F","Rhone","",""
"Sevilla","Andalusia","E","Guadalquivir","",""
"Almeria","Andalusia","E","","","Mediterranean Sea"
"Cadiz","Andalusia","E","","","Atlantic Ocean"
"Cordoba","Andalusia","E","Guadalquivir","",""
"Huelva","Andalusia","E","","","Atlantic Ocean"
"Malaga","Andalusia","E","","","Mediterranean Sea"
"Algeciras","Andalusia","E","","","Mediterranean Sea"
"Zaragoza","Aragon","E","Ebro","",""
"Gijon","Asturias","E","","","Atlantic Ocean"
"Palma de Mallorca","Balearic Islands","E","","","Mediterranean Sea"
"Bilbao","Basque Country","E","","","Atlantic Ocean"
"Baracaldo","Basque Country","E","","","Atlantic Ocean"
"Donostia","Basque Country","E","","","Atlantic Ocean"
"Santa Cruz de Tenerife","Canary Islands","E","","","Atlantic Ocean"
"Las Palmas de Gran Canaria","Canary Islands","E","","","Atlantic Ocean"
"La Laguna","Canary Islands","E","","","Atlantic Ocean"
"Santander","Cantabria","E","","","Atlantic Ocean"
"Valladolid","Castile and Leon","E","Douro","",""
"Barcelona","Catalonia","E","","","Mediterranean Sea"
"Badalona","Catalonia","E","","","Mediterranean Sea"
"Badajoz","Estremadura","E","Guadiana","",""
"La Coruna","Galicia","E","","","Atlantic Ocean"
"Vigo","Galicia","E","","","Atlantic Ocean"
"Cartagena","Murcia","E","","","Mediterranean Sea"
"Logrono","Rioja","E","Ebro","",""
"Valencia","Valencia","E","","","Mediterranean Sea"
"Alicante","Valencia","E","","","Mediterranean Sea"
"Castellon de la Plana","Valencia","E","","","Mediterranean Sea"
"Bregenz","Vorarlberg","A","","Bodensee",""
"Vienna","Vienna","A","Donau","",""
"Linz","Upper Austria","A","Donau","",""
"Innsbruck","Tyrol","A","Inn","",""
"Graz","Styria","A","Mur","",""
"Salzburg","Salzburg","A","Salzach","",""
"Ostrava","Severomoravsky","CZ","Oder","",""
"Olomouc","Severomoravsky","CZ","March","",""
