"Name","Mountains","Height","Type","Longitude","Latitude"
"Aconcagua","Andes",6962.0,"",-70.0,-32.65
"Alpamayo","Cordillera Blanca",5947.0,"",-77.7,-8.9
"Ampato","Andes",6288.0,"volcano",-71.9,-15.8
"Andringitra","",2658.0,"volcanic",47.0,-22.5
"Annapurna","Himalaya",8091.0,"",83.8,28.6
"Ararat","Kurdistan",5165.0,"volcanic",44.3,39.7
"Asahi-Dake","",2290.0,"volcanic",142.85,43.65
"Ausangate","Cordillera Vilcanota",6336.0,"",-71.2,-13.8
"Barbeau Peak","British Empire Range",2616.0,"",-75.0,81.9
"Barre des Ecrins","Alps",4101.0,"",6.3,44.9
"Ben Nevis","Grampians",1344.0,"",-5.0,56.8
"Bjelucha","Altai",4506.0,"",86.4,49.48
"Blue Mountain Peak","",2256.0,"",-76.4,18.1
"Borah Peak","Rocky Mountains",3859.0,"",-113.8,44.1
"Boundary Peak","Sierra Nevada California",4006.0,"",-118.3,37.9
"Broad Peak","Karakorum",8051.0,"",76.6,35.8
"Brocken","Harz",1141.0,"",10.6,51.8
"Cathkin Peak","Drakensberge",3181.0,"",29.35,-29.1
"Cayambe","Andes",5796.0,"volcano",-78.0,0.1
"Cerro Chirripo","Cordillera de Talamanca",3819.0,"volcanic",-83.5,9.5
"Cerro de Punta","",1338.0,"",-66.6,18.2
"Changbai Shan","Changbai",2744.0,"",128.1,42.0
"Chimborazo","Andes",6287.0,"volcano",-78.5,-1.2
"Cho Oyu","Himalaya",8188.0,"",86.65,28.35
"Citlaltepetl (Pico de Orizaba)","Cordillera Volcanica",5700.0,"volcano",-97.0,19.0
"Clingmans Dome","Appalachen",2025.0,"",-83.2,35.3
"Concepcion","",1700.0,"volcano",-85.6,11.5
"Coropuna","Cordillera Volcanica",6425.0,"volcano",-72.65,-15.5
"Cotopaxi","Andes",5897.0,"volcano",-78.4,-0.7
"Crap_Sogn_Gion","Alps",2228.0,"",9.2,46.85
"Damavand","Elburs",5610.0,"volcano",52.1,35.95
"Demirkazik","Taurus",3756.0,"",35.2,37.8
"Dhaulagiri","Himalaya",8167.0,"",83.5,28.7
"Djebel Aures","Rif",2456.0,"",-6.5,35.5
"Dodabetta","West Ghats",2636.0,"",76.7,11.4
"Elbrus","Kaukasus",5642.0,"volcanic",42.26,43.21
"Elgon","East African Rift",4321.0,"volcanic",34.55,1.1
"Emi Kussi","Tibesti",3415.0,"volcano",18.5,20.0
"Etna","",3323.0,"volcano",15.0,37.7
"Fako","",4095.0,"volcano",9.2,4.2
"Feldberg","Schwarzwald",1493.0,"",7.5,47.5
"Finsteraarhorn","Alps",4274.0,"",8.1,46.5
"Fogo","Cape Verdes",2829.0,"volcano",-24.4,14.95
"Fujisan","",3776.0,"volcano",139.0,35.0
"Galdhoeppig","",2469.0,"",8.0,61.4
"Gannett Peak","Rocky Mountains",4207.0,"",-110.0,43.2
"Gasherbrum I","Karakorum",8080.0,"",76.7,35.6
"Gasherbrum II","Karakorum",8034.0,"",76.65,35.75
"GerlachovskyStit","Beskides",2655.0,"",20.1,49.2
"Glittertind","",2452.0,"",8.1,61.4
"Gran Sasso","Apennin",2912.0,"",13.55,42.5
"Grand Ballon","Vosges",1424.0,"",7.1,47.9
"GrandCombin","Alps",4314.0,"",7.3,45.9
"Granite Peak","Rocky Mountains",3901.0,"",-109.5,45.0
"GranParadiso","Alps",4061.0,"",7.25,45.5
"Grosser Arber","Bayrischer Wald",1456.0,"",13.0,49.1
"Grossglockner","Alps",3797.0,"",12.5,47.0
"Guadalupe Peak","Rocky Mountains",2667.0,"",-105.0,32.0
"Gunung Agung","",3142.0,"volcano",115.5,-8.3
"Gunung Binaiya","",3027.0,"",129.3,-3.1
"Haleakala","Hawaii",3055.0,"volcano",-156.25,20.7
"Haltiatunturi","",1328.0,"",21.4,67.0
"Harney Peak","Rocky Mountains",2207.0,"",-103.4,44.0
"Hekla","",1491.0,"volcano",-19.7,64.0
"Hochgolling","Alps",2862.0,"",13.75,47.3
"Hotaka-Dake","",3190.0,"volcano",138.0,36.0
"Huascaran","Cordillera Blanca",6768.0,"",-77.3,-9.0
"Humphreys Peak","Rocky Mountains",3850.0,"volcanic",-111.65,35.3
"Hvannadalshnukur","",2110.0,"volcanic",-16.7,64.1
"Illampu","Cordillera Real",6368.0,"granite",-68.5,-15.8
"Illimani","Cordillera Real",6439.0,"granite",-67.8,-16.65
"Irazu","Cordillera de Talamanca",3432.0,"volcano",-83.9,10.0
"Iztaccihuatl","Cordillera Volcanica",5286.0,"volcanic",-98.6,19.2
"Jabal Katrina","Sinai",2637.0,"",33.95,28.5
"Jabal Lubnan","Lebanon",3088.0,"",36.1,34.3
"Jabal Marra","Darfur",3088.0,"volcanic",24.6,13.0
"Jabal Shuayb","",3760.0,"",44.0,15.5
"Jezerce","Balkan",2694.0,"",19.4,42.3
"Joekul","",1876.0,"",7.2,60.3
"Jostedalsbre","",2083.0,"",5.5,61.4
"K2","Karakorum",8611.0,"",76.5,35.9
"Kailash","Transhimalaya",6714.0,"",81.3,31.05
"Kangchendzonga","Himalaya",8586.0,"",88.1,27.7
"Kanlaon","",2435.0,"volcano",123.1,10.4
"Karisimbi","East African Rift",4507.0,"volcano",29.45,-1.5
"Kasbek","Kaukasus",5033.0,"volcanic",44.31,42.42
"Katla","",1450.0,"volcano",-19.0,63.6
"Kebnekaise","",2114.0,"",18.3,67.5
"Kenia","East African Rift",5199.0,"volcanic",37.3,0.15
