"Country","Population_Growth","Infant_Mortality"
"A",0.41,6.2
"AFG",4.78,149.7
"AG",0.76,17.2
"AL",1.34,49.2
"AMSA",1.22,10.18
"AND",2.96,2.2
"ANG",2.68,138.9
"ARM",0.02,38.9
"ARU",1.478,13.79
"AUS",0.99,5.5
"AXA",2.27,3.52
"AZ",0.78,74.5
"B",0.33,6.4
"BD",1.85,102.3
"BDS",0.26,18.7
"BEN",3.32,105.1
"BERM",0.65,2.46
"BF",2.53,117.8
"BG",0.46,15.7
"BHT",2.32,116.3
"BI",1.54,102.2
"BIH",-2.84,43.2
"BOL",1.82,67.5
"BR",1.16,55.3
"BRN",2.27,17.1
"BRU",2.56,24.2
"BS",1.05,23.3
"BVIR",1.84,14.65
"BY",0.2,13.4
"BZ",2.42,33.9
"C",0.44,9.0
"CAM",2.89,78.7
"CAYM",2.39,6.94
"CDN",1.06,6.1
"CH",0.59,5.4
"CI",2.92,82.4
"CL",1.13,20.8
"CO",1.66,25.8
"COCO",0.0,0.0
"COM",3.55,75.3
"COOK",-3.3,16.9
"CR",2.06,13.5
"CV",2.93,54.3
"CY",1.11,8.4
"CZ",-0.03,8.4
"D",0.67,6.0
"DJI",1.5,106.7
"DK",0.38,4.8
"DOM",1.73,47.7
"DZ",2.21,48.7
"E",0.16,6.3
"EAK",2.27,55.3
"EAT",1.15,105.9
"EAU",2.24,99.4
"EC",1.96,34.8
"ER",2.79,118.9
"ES",1.81,31.9
"ET",1.91,72.8
"ETH",2.72,122.8
"EW",-1.13,17.4
"F",0.34,5.3
"FALK",0.0,0.0
"FARX",-1.8,7.2
"FGU",3.86,14.6
"FJI",1.28,17.4
"FL",1.08,5.3
"FPOL",1.39,7.55
"FSM",3.34,35.8
"G",1.47,90.1
"GAZA",4.55,30.6
"GB",0.22,6.4
"GBG",1.28,9.2
"GBJ",0.77,2.7
"GBM",0.94,2.4
"GBZ",0.54,6.9
"GCA",2.48,50.7
"GE",-1.02,22.5
"GH",2.29,80.3
"GNB",2.35,115.8
"GQ",2.58,98.0
"GR",0.42,7.4
"GROX",1.0,23.8
"GUAD",1.2,8.3
"GUAM",1.37,6.05
"GUY",-0.9,51.4
"H",-0.68,12.3
"HCA",2.6,41.8
"HELX",0.45,17.63
"HONX",0.51,2.9
"HR",0.58,10.2
"I",0.13,6.9
"IL",2.11,8.5
"IND",1.64,71.1
"IR",2.21,52.7
"IRL",-0.22,6.4
"IRQ",3.69,60.0
"IS",0.83,4.3
"J",0.21,4.4
"JA",0.8,15.6
"JOR",2.65,31.5
"K",2.77,107.8
"KAZ",-0.15,63.2
"KGZ",0.07,77.8
"KIR",1.89,52.9
"KN",0.98,18.9
"KOS",0.0,0.0
"KWT",6.65,11.1
"L",1.57,4.7
"LAO",2.81,96.8
"LAR",3.67,59.5
"LB",2.13,108.1
"LS",1.9,81.6
"LT",-0.35,17.0
"LV",-1.39,21.2
"M",1.01,6.9
"MA",2.05,43.2
"MACX",1.15,5.3
"MAL",2.07,24.0
"MART",1.1,7.1
"MAYO",3.32,56.29
"MC",0.59,6.9
"MD",0.18,47.6
"MEX",1.87,25.0
"MH",3.85,46.9
"MK",0.46,29.7
"MNE",-0.851,0.0
"MNG",1.69,69.7
"MNTS",0.39,16.08
"MOC",2.65,125.6
"MS",1.23,17.2
"MV",3.52,47.0
"MW",1.71,139.9
"MYA",1.84,80.7
"N",0.48,4.9
"NA",0.73,9.09
"NAM",2.93,47.2
"NAU",1.33,40.6
"NCA",1.14,7.05
"NEP",2.45,79.0
"NIC",2.67,45.8
"NIUE",0.0,0.0
"NL",0.56,4.9
"NMIS",2.29,6.7
"NOK",1.74,25.9
"NORF",0.0,0.0
"NZ",1.12,6.7
"OM",3.53,27.3
"P",0.02,7.6
"PA",1.64,29.7
"PAL",1.71,25.07
"PE",1.74,52.2
"PITC",0.0,0.0
"PK",2.24,96.8
"PL",0.14,12.4
"PNG",2.29,60.1
"PR",0.34,8.42
"PY",2.67,23.2
"Q",2.39,19.6
"R",-0.07,24.7
"RA",1.1,28.3
"RB",1.63,54.2
"RC",0.89,7.0
"RCA",2.08,111.7
"RCB",2.19,108.1
"RCH",1.24,13.6
"REUN",1.93,7.5
"RG",1.85,134.1
"RH",1.77,103.8
"RI",1.53,63.1
"RIM",3.17,81.7
"RL",2.16,36.7
"RM",2.83,93.5
"RMM",2.95,102.7
"RN",2.99,117.6
"RO",-1.21,23.2
"ROK",1.02,8.2
"ROU",0.7,15.4
"RP",2.18,35.9
"RSA",1.76,48.8
"RSM",0.82,5.5
"RT",3.56,84.3
"RWA",16.49,118.8
"S",0.56,4.5
"SA",3.45,46.4
"SD",3.24,88.4
"SF",0.1,4.9
"SGP",1.9,4.7
"SK",0.34,10.7
"SLB",3.35,25.8
"SLO",-0.27,7.3
"SMAR",0.0,0.0
"SME",1.6,29.3
"SN",3.37,64.0
"SP",3.1,121.1
"SPMI",0.77,9.95
"SRB",-0.47,6.75
"STP",2.58,61.1
"SUD",3.48,76.0
"SVAX",-0.02,0.0
"SY",0.76,12.5
"SYR",3.37,40.0
"TAD",1.54,113.1
"TCH",2.68,120.4
"THA",1.03,33.4
"TJ",0.98,39.6
"TL",2.03,40.65
"TM",1.82,81.6
"TN",1.81,35.1
"TO",0.82,40.26
"TR",1.67,43.2
"TT",0.08,18.2
"TUCA",2.56,13.89
"TUV",1.51,27.6
"UA",-0.4,22.5
"UAE",4.33,20.4
"USA",0.91,6.7
"UZB",1.87,79.6
"V",0.0,0.0
"VIRG",-0.06,12.54
"VN",1.57,38.4
"VU",2.17,64.6
"WAFU",0.35,5.02
"WAG",3.55,80.5
"WAL",4.14,135.6
"WAN",3.05,72.4
"WD",0.38,9.6
"WEST",4.99,28.6
"WG",0.55,11.9
"WL",1.14,20.0
"WS",2.37,34.3
"WSA",2.46,145.82
"WV",0.64,16.8
"XMAS",0.0,0.0
"YE",3.56,71.5
"YV",1.89,29.5
"Z",2.11,96.1
"ZRE",1.67,108.0
